MONITOR_OFFICIAL_NAME,MONITOR_EXP_NAME,DCUM,IP,IS_CABLE_CONNECTED,SELECTED_RS,SECONDS_IRRADIATION,SOURCE_DISTANCE_CM,BLM_SOURCE_TEST_THRESHOLD_GY_S,BLM_REACH_FLAG,BLM_LOCATION,BLM_POSITION
BLMQI.B19R5,BLMQI.19R5.B2I30_MQ,14189.64,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.C19R5,BLMQI.19R5.B1E10_MQ,14192.73,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.F19R5,BLMQI.19R5.B2I10_MQ,14196.14,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.A20R5,BLMQI.19R5.B1E30_MQ,14198.64,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.A20R5,BLMBI.20R5.B0T10_MBA-MBB_19R5,14212.98,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.B20R5,BLMBI.20R5.B0T20_MBB-MBA_20R5,14228.64,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.B20R5,BLMQI.20R5.B2I30_MQ,14243.09,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.C20R5,BLMQI.20R5.B1E10_MQ,14246.18,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.F20R5,BLMQI.20R5.B2I10_MQ,14249.59,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.A21R5,BLMQI.20R5.B1E30_MQ,14252.09,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.A21R5,BLMBI.21R5.B0T10_MBB-MBA_20R5,14266.43,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.B21R5,BLMBI.21R5.B0T20_MBA-MBB_21R5,14282.09,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.B21R5,BLMQI.21R5.B2I30_MQ,14296.54,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.C21R5,BLMQI.21R5.B1E10_MQ,14299.63,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.F21R5,BLMQI.21R5.B2I10_MQ,14303.04,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.A22R5,BLMQI.21R5.B1E30_MQ,14305.54,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.A22R5,BLMBI.22R5.B0T10_MBA-MBB_21R5,14319.88,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.B22R5,BLMBI.22R5.B0T20_MBB-MBA_22R5,14335.54,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.B22R5,BLMQI.22R5.B2I30_MQ,14349.99,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.C22R5,BLMQI.22R5.B1E10_MQ,14353.08,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.F22R5,BLMQI.22R5.B2I10_MQ,14356.49,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.A23R5,BLMQI.22R5.B1E30_MQ,14358.99,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.A23R5,BLMBI.23R5.B0T10_MBB-MBA_22R5,14373.33,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.B23R5,BLMBI.23R5.B0T20_MBA-MBB_23R5,14388.99,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.B23R5,BLMQI.23R5.B2I30_MQ,14403.44,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.C23R5,BLMQI.23R5.B1E10_MQ,14406.53,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.F23R5,BLMQI.23R5.B2I10_MQ,14409.94,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.A24R5,BLMQI.23R5.B1E30_MQ,14412.44,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.A24R5,BLMBI.24R5.B0T10_MBA-MBB_23R5,14426.78,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.B24R5,BLMBI.24R5.B0T20_MBB-MBA_24R5,14442.44,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.B24R5,BLMQI.24R5.B2I30_MQ,14456.89,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.C24R5,BLMQI.24R5.B1E10_MQ,14459.98,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.F24R5,BLMQI.24R5.B2I10_MQ,14463.39,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.A25R5,BLMQI.24R5.B1E30_MQ,14465.89,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.A25R5,BLMBI.25R5.B0T10_MBB-MBA_24R5,14480.23,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.B25R5,BLMBI.25R5.B0T20_MBA-MBB_25R5,14495.89,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.B25R5,BLMQI.25R5.B2I30_MQ,14510.34,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.C25R5,BLMQI.25R5.B1E10_MQ,14513.43,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.F25R5,BLMQI.25R5.B2I10_MQ,14516.84,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.A26R5,BLMQI.25R5.B1E30_MQ,14519.34,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.A26R5,BLMBI.26R5.B0T10_MBA-MBB_25R5,14533.68,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.B26R5,BLMBI.26R5.B0T20_MBB-MBA_26R5,14549.34,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.B26R5,BLMQI.26R5.B2I30_MQ,14563.79,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.C26R5,BLMQI.26R5.B1E10_MQ,14566.88,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.F26R5,BLMQI.26R5.B2I10_MQ,14570.29,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.A27R5,BLMQI.26R5.B1E30_MQ,14572.79,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.A27R5,BLMBI.27R5.B0T10_MBB-MBA_26R5,14587.13,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.B27R5,BLMBI.27R5.B0T20_MBA-MBB_27R5,14602.79,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.B27R5,BLMQI.27R5.B2I30_MQ,14617.24,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.C27R5,BLMQI.27R5.B1E10_MQ,14620.33,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.F27R5,BLMQI.27R5.B2I10_MQ,14623.74,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.A28R5,BLMQI.27R5.B1E30_MQ,14626.24,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.A28R5,BLMBI.28R5.B0T10_MBA-MBB_27R5,14640.58,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.B28R5,BLMBI.28R5.B0T20_MBB-MBA_28R5,14656.24,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.B28R5,BLMQI.28R5.B2I30_MQ,14670.69,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.C28R5,BLMQI.28R5.B1E10_MQ,14673.78,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.F28R5,BLMQI.28R5.B2I10_MQ,14677.19,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.A29R5,BLMQI.28R5.B1E30_MQ,14679.69,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.A29R5,BLMBI.29R5.B0T10_MBB-MBA_28R5,14694.03,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.B29R5,BLMBI.29R5.B0T20_MBA-MBB_29R5,14709.69,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.B29R5,BLMQI.29R5.B2I30_MQ,14724.14,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.C29R5,BLMQI.29R5.B1E10_MQ,14727.23,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.F29R5,BLMQI.29R5.B2I10_MQ,14730.64,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.A30R5,BLMQI.29R5.B1E30_MQ,14733.14,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.A30R5,BLMBI.30R5.B0T10_MBA-MBB_29R5,14747.48,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.B30R5,BLMBI.30R5.B0T20_MBB-MBA_30R5,14763.14,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.B30R5,BLMQI.30R5.B2I30_MQ,14777.59,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.C30R5,BLMQI.30R5.B1E10_MQ,14780.68,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.F30R5,BLMQI.30R5.B2I10_MQ,14784.09,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.A31R5,BLMQI.30R5.B1E30_MQ,14786.59,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.A31R5,BLMBI.31R5.B0T10_MBB-MBA_30R5,14800.93,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.B31R5,BLMBI.31R5.B0T20_MBA-MBB_31R5,14816.59,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.B31R5,BLMQI.31R5.B2I30_MQ,14831.04,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.C31R5,BLMQI.31R5.B1E10_MQ,14834.13,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.F31R5,BLMQI.31R5.B2I10_MQ,14837.54,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.A32R5,BLMQI.31R5.B1E30_MQ,14840.04,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.A32R5,BLMBI.32R5.B0T10_MBA-MBB_31R5,14854.38,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.B32R5,BLMBI.32R5.B0T20_MBB-MBA_32R5,14870.04,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.B32R5,BLMQI.32R5.B2I30_MQ,14884.49,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.C32R5,BLMQI.32R5.B1E10_MQ,14887.58,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.F32R5,BLMQI.32R5.B2I10_MQ,14890.99,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.A33R5,BLMQI.32R5.B1E30_MQ,14893.49,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.A33R5,BLMBI.33R5.B0T10_MBB-MBA_32R5,14907.83,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.B33R5,BLMBI.33R5.B0T20_MBA-MBB_33R5,14923.49,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.B33R5,BLMQI.33R5.B2I30_MQ,14937.94,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.C33R5,BLMQI.33R5.B1E10_MQ,14941.03,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.F33R5,BLMQI.33R5.B2I10_MQ,14944.44,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.A34R5,BLMQI.33R5.B1E30_MQ,14946.94,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.A34R5,BLMBI.34R5.B0T10_MBA-MBB_33R5,14961.28,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.B34R5,BLMBI.34R5.B0T20_MBB-MBA_34R5,14976.94,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.B34R5,BLMQI.34R5.B2I30_MQ,14991.39,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.C34R5,BLMQI.34R5.B1E10_MQ,14994.48,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.C34L6,BLMQI.34R5.B2I10_MQ,14997.89,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.B34L6,BLMQI.34R5.B1E30_MQ,15000.39,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.B34L6,BLMBI.34L6.B0T20_MBA-MBB_34R5,15014.73,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.A34L6,BLMBI.34L6.B0T10_MBB-MBA_33L6,15030.39,LHC_IP6,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.A34L6,BLMQI.33L6.B2I30_MQ,15044.84,LHC_IP6,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.F33L6,BLMQI.33L6.B1E10_MQ,15047.93,LHC_IP6,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.C33L6,BLMQI.33L6.B2I10_MQ,15051.34,LHC_IP6,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.B33L6,BLMQI.33L6.B1E30_MQ,15053.84,LHC_IP6,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.B33L6,BLMBI.33L6.B0T20_MBB-MBA_33L6,15068.18,LHC_IP6,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.A33L6,BLMBI.33L6.B0T10_MBA-MBB_32L6,15083.84,LHC_IP6,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.A33L6,BLMQI.32L6.B2I30_MQ,15098.29,LHC_IP6,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.F32L6,BLMQI.32L6.B1E10_MQ,15101.38,LHC_IP6,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.C32L6,BLMQI.32L6.B2I10_MQ,15104.79,LHC_IP6,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.B32L6,BLMQI.32L6.B1E30_MQ,15107.29,LHC_IP6,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.B32L6,BLMBI.32L6.B0T20_MBA-MBB_32L6,15121.63,LHC_IP6,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.A32L6,BLMBI.32L6.B0T10_MBB-MBA_31L6,15137.29,LHC_IP6,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.A32L6,BLMQI.31L6.B2I30_MQ,15151.74,LHC_IP6,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.F31L6,BLMQI.31L6.B1E10_MQ,15154.83,LHC_IP6,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.C31L6,BLMQI.31L6.B2I10_MQ,15158.24,LHC_IP6,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.B31L6,BLMQI.31L6.B1E30_MQ,15160.74,LHC_IP6,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.B31L6,BLMBI.31L6.B0T20_MBB-MBA_31L6,15175.08,LHC_IP6,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.A31L6,BLMBI.31L6.B0T10_MBA-MBB_30L6,15190.74,LHC_IP6,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.A31L6,BLMQI.30L6.B2I30_MQ,15205.19,LHC_IP6,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.F30L6,BLMQI.30L6.B1E10_MQ,15208.28,LHC_IP6,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.C30L6,BLMQI.30L6.B2I10_MQ,15211.69,LHC_IP6,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.B30L6,BLMQI.30L6.B1E30_MQ,15214.19,LHC_IP6,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.B30L6,BLMBI.30L6.B0T20_MBA-MBB_30L6,15228.53,LHC_IP6,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.A30L6,BLMBI.30L6.B0T10_MBB-MBA_29L6,15244.19,LHC_IP6,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.A30L6,BLMQI.29L6.B2I30_MQ,15258.64,LHC_IP6,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.F29L6,BLMQI.29L6.B1E10_MQ,15261.73,LHC_IP6,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.C29L6,BLMQI.29L6.B2I10_MQ,15265.14,LHC_IP6,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.B29L6,BLMQI.29L6.B1E30_MQ,15267.64,LHC_IP6,1,RS09,30,1,5.00E-07,Medium,Ring,External
